"","accession","pval_bon: wt VS ko","pval_bon: wt-cyto-no glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-cyto-glu","pval_bon: wt-mem-glu VS wt-mem-no glu","pval_bon: wt-mem-no glu VS Δ-mem-no glu","pval_bon: Δ-mem-no glu VS Δ-mem-glu","pval_BY: wt VS ko","pval_BY: wt-cyto-no glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-cyto-glu","pval_BY: wt-mem-glu VS wt-mem-no glu","pval_BY: wt-mem-no glu VS Δ-mem-no glu","pval_BY: Δ-mem-no glu VS Δ-mem-glu","pval_BH: wt VS ko","pval_BH: wt-cyto-no glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-cyto-glu","pval_BH: wt-mem-glu VS wt-mem-no glu","pval_BH: wt-mem-no glu VS Δ-mem-no glu","pval_BH: Δ-mem-no glu VS Δ-mem-glu","AoverB: wt VS ko","AoverB: wt-cyto-no glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-cyto-glu","AoverB: wt-mem-glu VS wt-mem-no glu","AoverB: wt-mem-no glu VS Δ-mem-no glu","AoverB: Δ-mem-no glu VS Δ-mem-glu"
"923","Q91VD9",1,0,0,0,1,1,1,0,0,0,0.125903213433666,0.26436597148737,0.773195936441935,0,0,0,0.0162471346810315,0.0341150112590256,0.829170431814144,NA,NA,NA,0.686515096836278,0.802442173341215
"924","Q91VE0",1,1,1,1,1,1,0.943318576442426,1,1,1,1,1,0.121730204818432,1,1,1,1,1,0.801978728666836,NA,NA,NA,1.25354742345034,1.21249622698461
"925","Q91VI7",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1.18942056922552,NA,NA,NA,NA,NA
"926","Q91VM5",1,1,1,0,1,1,1,1,1,0,1,1,0.815022789867729,1,1,0,1,1,1.15782727835233,1.12853742396191,NA,NA,1.08637451390966,0.90559393200596
"927","Q91VM9",1,1,1,1,0,1,1,1,1,1,0,1,0.892638969153934,1,1,1,0,1,0.95927660165473,NA,NA,NA,0.491563386591011,1.04542616297221
"928","Q91VN4",1,1,1,0,1,1,1,1,1,0,1,1,0.831329495305729,1,1,0,1,0.159064941600166,1.13578269073303,NA,NA,NA,0.968063362289221,0.911002962336008
"929","Q91VR2",1,0,1,0,1,1,1,0,1,0,1,1,0.981482058948645,0,1,0,0.272246750703178,0.76481841387333,1.10462828231588,2.76717935996031,1.0213346564128,0.359108552488115,0.699481391092129,0.921062490633899
"930","Q91VR7",1,1,1,1,0,1,1,1,1,1,0,1,0.325423810504512,1,1,1,0,0.696528991938828,1.43191560897705,NA,NA,NA,0.842745294019657,0.696322932374435
"931","Q91VR8",1,1,1,1,1,0,1,1,1,1,1,0,0.977364470944107,1,1,1,1,0,1.05574404436175,NA,NA,NA,0.598968461993743,0.804120206690237
"932","Q91VW5",0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0.818976473249407,NA,NA,NA,NA,NA
